Title,Price,Availability,Image URL,Rating,Product Page URL
The Vacationers,£42.15,In stock,../../../../media/cache/37/25/372578cc073efae80cf284b56040a488.jpg,4,https://books.toscrape.com/catalogue/../../../the-vacationers_863/index.html
The Regional Office Is Under Attack!,£51.36,In stock,../../../../media/cache/f8/31/f8314c7fdaa79fb7191a583e9a852db8.jpg,5,https://books.toscrape.com/catalogue/../../../the-regional-office-is-under-attack_858/index.html
Finders Keepers (Bill Hodges Trilogy #2),£53.53,In stock,../../../../media/cache/6a/81/6a81103b1c01a3f6c56e5718a838a4c8.jpg,5,https://books.toscrape.com/catalogue/../../../finders-keepers-bill-hodges-trilogy-2_807/index.html
The Time Keeper,£27.88,In stock,../../../../media/cache/8f/f8/8ff8680dde59ea739d6978a01e4d7fe5.jpg,5,https://books.toscrape.com/catalogue/../../../the-time-keeper_766/index.html
The Testament of Mary,£52.67,In stock,../../../../media/cache/83/05/8305154438c91a02cefacf4ec8b53393.jpg,5,https://books.toscrape.com/catalogue/../../../the-testament-of-mary_765/index.html
The First Hostage (J.B. Collins #2),£25.85,In stock,../../../../media/cache/38/34/3834572e651cdc14b18d348fa4875aa9.jpg,3,https://books.toscrape.com/catalogue/../../../the-first-hostage-jb-collins-2_749/index.html
Take Me with You,£45.21,In stock,../../../../media/cache/d8/a4/d8a44eda7cbe7bd1207f868e9adc06f3.jpg,3,https://books.toscrape.com/catalogue/../../../take-me-with-you_741/index.html
Still Life with Bread Crumbs,£26.41,In stock,../../../../media/cache/8e/c7/8ec7f310b74ddd7ec3c859e9b0da7389.jpg,3,https://books.toscrape.com/catalogue/../../../still-life-with-bread-crumbs_738/index.html
Shtum,£55.84,In stock,../../../../media/cache/03/16/0316bb6f4785ac69c0643109201bad5d.jpg,4,https://books.toscrape.com/catalogue/../../../shtum_733/index.html
My Name Is Lucy Barton,£41.56,In stock,../../../../media/cache/ca/b1/cab150e556b5fab663a9fec00ed97943.jpg,1,https://books.toscrape.com/catalogue/../../../my-name-is-lucy-barton_720/index.html
My Mrs. Brown,£24.48,In stock,../../../../media/cache/e0/79/e07906c1e507055da9a2260a74f58273.jpg,3,https://books.toscrape.com/catalogue/../../../my-mrs-brown_719/index.html
Mr. Mercedes (Bill Hodges Trilogy #1),£28.90,In stock,../../../../media/cache/a7/f0/a7f092a7b79f848df0226f808fed489b.jpg,1,https://books.toscrape.com/catalogue/../../../mr-mercedes-bill-hodges-trilogy-1_717/index.html
I Am Pilgrim (Pilgrim #1),£10.60,In stock,../../../../media/cache/ed/07/ed07c9e7c53d4f33a6eb7d41eb0e6d4a.jpg,4,https://books.toscrape.com/catalogue/../../../i-am-pilgrim-pilgrim-1_703/index.html
Eligible (The Austen Project #4),£27.09,In stock,../../../../media/cache/26/3b/263bf5d128bf18553ea8da8bb19e9a0c.jpg,3,https://books.toscrape.com/catalogue/../../../eligible-the-austen-project-4_692/index.html
