Title,Price,Availability,Image URL,Rating,Product Page URL
Dune (Dune #1),£54.86,In stock,../../../../media/cache/7a/bc/7abccb865ecf9b0f676800b10c71cfd6.jpg,One,https://books.toscrape.com/catalogue/../../../dune-dune-1_151/index.html
Do Androids Dream of Electric Sheep? (Blade Runner #1),£51.48,In stock,../../../../media/cache/fa/65/fa653fbe3a4c69227c9b79d471cee576.jpg,One,https://books.toscrape.com/catalogue/../../../do-androids-dream-of-electric-sheep-blade-runner-1_149/index.html
Three Wishes (River of Time: California #1),£44.18,In stock,../../../../media/cache/c7/21/c721943edf481cad5ab32505e2ad3865.jpg,Two,https://books.toscrape.com/catalogue/../../../three-wishes-river-of-time-california-1_89/index.html
The Last Girl (The Dominion Trilogy #1),£36.26,In stock,../../../../media/cache/da/47/da4746e620f8ccd7cf20628d1a5e535a.jpg,Two,https://books.toscrape.com/catalogue/../../../the-last-girl-the-dominion-trilogy-1_70/index.html
Having the Barbarian's Baby (Ice Planet Barbarians #7.5),£34.96,In stock,../../../../media/cache/f4/83/f4835e9f3fdd8b8107bbb39a391654f0.jpg,Four,https://books.toscrape.com/catalogue/../../../having-the-barbarians-baby-ice-planet-barbarians-75_23/index.html
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,In stock,../../../../media/cache/09/a3/09a3aef48557576e1a85ba7efea8ecb7.jpg,One,https://books.toscrape.com/catalogue/../../../mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
Join,£35.67,In stock,../../../../media/cache/93/63/9363f0065fbad5689f44fcf6e203eef3.jpg,Five,https://books.toscrape.com/catalogue/../../../join_902/index.html
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",£43.30,In stock,../../../../media/cache/02/37/0237b445efc18c5562355a5a2c40889c.jpg,Four,https://books.toscrape.com/catalogue/../../../william-shakespeares-star-wars-verily-a-new-hope-william-shakespeares-star-wars-4_871/index.html
The Project,£10.65,In stock,../../../../media/cache/10/6e/106e2fc7160712edf8e2ff996dc8cd6c.jpg,One,https://books.toscrape.com/catalogue/../../../the-project_856/index.html
Soft Apocalypse,£26.12,In stock,../../../../media/cache/f0/06/f0060c756556b855184fa32f66280961.jpg,Two,https://books.toscrape.com/catalogue/../../../soft-apocalypse_833/index.html
Sleeping Giants (Themis Files #1),£48.74,In stock,../../../../media/cache/c0/72/c072c1ef144d571abd25fe9cc18cceba.jpg,One,https://books.toscrape.com/catalogue/../../../sleeping-giants-themis-files-1_604/index.html
Arena,£21.36,In stock,../../../../media/cache/51/88/518810d182843244a404f2a2a614a93b.jpg,Four,https://books.toscrape.com/catalogue/../../../arena_587/index.html
Foundation (Foundation (Publication Order) #1),£32.42,In stock,../../../../media/cache/8b/92/8b9267df86378b6973974ae7e1924ffe.jpg,One,https://books.toscrape.com/catalogue/../../../foundation-foundation-publication-order-1_375/index.html
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),£10.92,In stock,../../../../media/cache/b8/b2/b8b2956acc758a381beef87339c0a52f.jpg,One,https://books.toscrape.com/catalogue/../../../the-restaurant-at-the-end-of-the-universe-hitchhikers-guide-to-the-galaxy-2_275/index.html
Ready Player One,£19.07,In stock,../../../../media/cache/51/34/513418bd1c6114f3ea1fd703278e20ef.jpg,Four,https://books.toscrape.com/catalogue/../../../ready-player-one_209/index.html
"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",£33.26,In stock,../../../../media/cache/ef/8b/ef8bc5adcd3bea8e8ba97be76d07a32a.jpg,Two,https://books.toscrape.com/catalogue/../../../life-the-universe-and-everything-hitchhikers-guide-to-the-galaxy-3_189/index.html
Dune (Dune #1),£54.86,In stock,../../../../media/cache/7a/bc/7abccb865ecf9b0f676800b10c71cfd6.jpg,One,https://books.toscrape.com/catalogue/../../../dune-dune-1_151/index.html
Do Androids Dream of Electric Sheep? (Blade Runner #1),£51.48,In stock,../../../../media/cache/fa/65/fa653fbe3a4c69227c9b79d471cee576.jpg,One,https://books.toscrape.com/catalogue/../../../do-androids-dream-of-electric-sheep-blade-runner-1_149/index.html
Three Wishes (River of Time: California #1),£44.18,In stock,../../../../media/cache/c7/21/c721943edf481cad5ab32505e2ad3865.jpg,Two,https://books.toscrape.com/catalogue/../../../three-wishes-river-of-time-california-1_89/index.html
The Last Girl (The Dominion Trilogy #1),£36.26,In stock,../../../../media/cache/da/47/da4746e620f8ccd7cf20628d1a5e535a.jpg,Two,https://books.toscrape.com/catalogue/../../../the-last-girl-the-dominion-trilogy-1_70/index.html
Having the Barbarian's Baby (Ice Planet Barbarians #7.5),£34.96,In stock,../../../../media/cache/f4/83/f4835e9f3fdd8b8107bbb39a391654f0.jpg,Four,https://books.toscrape.com/catalogue/../../../having-the-barbarians-baby-ice-planet-barbarians-75_23/index.html
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,In stock,../../../../media/cache/09/a3/09a3aef48557576e1a85ba7efea8ecb7.jpg,One,https://books.toscrape.com/catalogue/../../../mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
Join,£35.67,In stock,../../../../media/cache/93/63/9363f0065fbad5689f44fcf6e203eef3.jpg,Five,https://books.toscrape.com/catalogue/../../../join_902/index.html
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",£43.30,In stock,../../../../media/cache/02/37/0237b445efc18c5562355a5a2c40889c.jpg,Four,https://books.toscrape.com/catalogue/../../../william-shakespeares-star-wars-verily-a-new-hope-william-shakespeares-star-wars-4_871/index.html
The Project,£10.65,In stock,../../../../media/cache/10/6e/106e2fc7160712edf8e2ff996dc8cd6c.jpg,One,https://books.toscrape.com/catalogue/../../../the-project_856/index.html
Soft Apocalypse,£26.12,In stock,../../../../media/cache/f0/06/f0060c756556b855184fa32f66280961.jpg,Two,https://books.toscrape.com/catalogue/../../../soft-apocalypse_833/index.html
Sleeping Giants (Themis Files #1),£48.74,In stock,../../../../media/cache/c0/72/c072c1ef144d571abd25fe9cc18cceba.jpg,One,https://books.toscrape.com/catalogue/../../../sleeping-giants-themis-files-1_604/index.html
Arena,£21.36,In stock,../../../../media/cache/51/88/518810d182843244a404f2a2a614a93b.jpg,Four,https://books.toscrape.com/catalogue/../../../arena_587/index.html
Foundation (Foundation (Publication Order) #1),£32.42,In stock,../../../../media/cache/8b/92/8b9267df86378b6973974ae7e1924ffe.jpg,One,https://books.toscrape.com/catalogue/../../../foundation-foundation-publication-order-1_375/index.html
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),£10.92,In stock,../../../../media/cache/b8/b2/b8b2956acc758a381beef87339c0a52f.jpg,One,https://books.toscrape.com/catalogue/../../../the-restaurant-at-the-end-of-the-universe-hitchhikers-guide-to-the-galaxy-2_275/index.html
Ready Player One,£19.07,In stock,../../../../media/cache/51/34/513418bd1c6114f3ea1fd703278e20ef.jpg,Four,https://books.toscrape.com/catalogue/../../../ready-player-one_209/index.html
"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",£33.26,In stock,../../../../media/cache/ef/8b/ef8bc5adcd3bea8e8ba97be76d07a32a.jpg,Two,https://books.toscrape.com/catalogue/../../../life-the-universe-and-everything-hitchhikers-guide-to-the-galaxy-3_189/index.html
Dune (Dune #1),£54.86,In stock,../../../../media/cache/7a/bc/7abccb865ecf9b0f676800b10c71cfd6.jpg,One,https://books.toscrape.com/catalogue/../../../dune-dune-1_151/index.html
Do Androids Dream of Electric Sheep? (Blade Runner #1),£51.48,In stock,../../../../media/cache/fa/65/fa653fbe3a4c69227c9b79d471cee576.jpg,One,https://books.toscrape.com/catalogue/../../../do-androids-dream-of-electric-sheep-blade-runner-1_149/index.html
Three Wishes (River of Time: California #1),£44.18,In stock,../../../../media/cache/c7/21/c721943edf481cad5ab32505e2ad3865.jpg,Two,https://books.toscrape.com/catalogue/../../../three-wishes-river-of-time-california-1_89/index.html
The Last Girl (The Dominion Trilogy #1),£36.26,In stock,../../../../media/cache/da/47/da4746e620f8ccd7cf20628d1a5e535a.jpg,Two,https://books.toscrape.com/catalogue/../../../the-last-girl-the-dominion-trilogy-1_70/index.html
Having the Barbarian's Baby (Ice Planet Barbarians #7.5),£34.96,In stock,../../../../media/cache/f4/83/f4835e9f3fdd8b8107bbb39a391654f0.jpg,Four,https://books.toscrape.com/catalogue/../../../having-the-barbarians-baby-ice-planet-barbarians-75_23/index.html
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,In stock,../../../../media/cache/09/a3/09a3aef48557576e1a85ba7efea8ecb7.jpg,One,https://books.toscrape.com/catalogue/../../../mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
Join,£35.67,In stock,../../../../media/cache/93/63/9363f0065fbad5689f44fcf6e203eef3.jpg,Five,https://books.toscrape.com/catalogue/../../../join_902/index.html
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",£43.30,In stock,../../../../media/cache/02/37/0237b445efc18c5562355a5a2c40889c.jpg,Four,https://books.toscrape.com/catalogue/../../../william-shakespeares-star-wars-verily-a-new-hope-william-shakespeares-star-wars-4_871/index.html
The Project,£10.65,In stock,../../../../media/cache/10/6e/106e2fc7160712edf8e2ff996dc8cd6c.jpg,One,https://books.toscrape.com/catalogue/../../../the-project_856/index.html
Soft Apocalypse,£26.12,In stock,../../../../media/cache/f0/06/f0060c756556b855184fa32f66280961.jpg,Two,https://books.toscrape.com/catalogue/../../../soft-apocalypse_833/index.html
Sleeping Giants (Themis Files #1),£48.74,In stock,../../../../media/cache/c0/72/c072c1ef144d571abd25fe9cc18cceba.jpg,One,https://books.toscrape.com/catalogue/../../../sleeping-giants-themis-files-1_604/index.html
Arena,£21.36,In stock,../../../../media/cache/51/88/518810d182843244a404f2a2a614a93b.jpg,Four,https://books.toscrape.com/catalogue/../../../arena_587/index.html
Foundation (Foundation (Publication Order) #1),£32.42,In stock,../../../../media/cache/8b/92/8b9267df86378b6973974ae7e1924ffe.jpg,One,https://books.toscrape.com/catalogue/../../../foundation-foundation-publication-order-1_375/index.html
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),£10.92,In stock,../../../../media/cache/b8/b2/b8b2956acc758a381beef87339c0a52f.jpg,One,https://books.toscrape.com/catalogue/../../../the-restaurant-at-the-end-of-the-universe-hitchhikers-guide-to-the-galaxy-2_275/index.html
Ready Player One,£19.07,In stock,../../../../media/cache/51/34/513418bd1c6114f3ea1fd703278e20ef.jpg,Four,https://books.toscrape.com/catalogue/../../../ready-player-one_209/index.html
"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",£33.26,In stock,../../../../media/cache/ef/8b/ef8bc5adcd3bea8e8ba97be76d07a32a.jpg,Two,https://books.toscrape.com/catalogue/../../../life-the-universe-and-everything-hitchhikers-guide-to-the-galaxy-3_189/index.html
Dune (Dune #1),£54.86,In stock,../../../../media/cache/7a/bc/7abccb865ecf9b0f676800b10c71cfd6.jpg,One,https://books.toscrape.com/catalogue/../../../dune-dune-1_151/index.html
Do Androids Dream of Electric Sheep? (Blade Runner #1),£51.48,In stock,../../../../media/cache/fa/65/fa653fbe3a4c69227c9b79d471cee576.jpg,One,https://books.toscrape.com/catalogue/../../../do-androids-dream-of-electric-sheep-blade-runner-1_149/index.html
Three Wishes (River of Time: California #1),£44.18,In stock,../../../../media/cache/c7/21/c721943edf481cad5ab32505e2ad3865.jpg,Two,https://books.toscrape.com/catalogue/../../../three-wishes-river-of-time-california-1_89/index.html
The Last Girl (The Dominion Trilogy #1),£36.26,In stock,../../../../media/cache/da/47/da4746e620f8ccd7cf20628d1a5e535a.jpg,Two,https://books.toscrape.com/catalogue/../../../the-last-girl-the-dominion-trilogy-1_70/index.html
Having the Barbarian's Baby (Ice Planet Barbarians #7.5),£34.96,In stock,../../../../media/cache/f4/83/f4835e9f3fdd8b8107bbb39a391654f0.jpg,Four,https://books.toscrape.com/catalogue/../../../having-the-barbarians-baby-ice-planet-barbarians-75_23/index.html
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,In stock,../../../../media/cache/09/a3/09a3aef48557576e1a85ba7efea8ecb7.jpg,One,https://books.toscrape.com/catalogue/../../../mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
Join,£35.67,In stock,../../../../media/cache/93/63/9363f0065fbad5689f44fcf6e203eef3.jpg,Five,https://books.toscrape.com/catalogue/../../../join_902/index.html
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",£43.30,In stock,../../../../media/cache/02/37/0237b445efc18c5562355a5a2c40889c.jpg,Four,https://books.toscrape.com/catalogue/../../../william-shakespeares-star-wars-verily-a-new-hope-william-shakespeares-star-wars-4_871/index.html
The Project,£10.65,In stock,../../../../media/cache/10/6e/106e2fc7160712edf8e2ff996dc8cd6c.jpg,One,https://books.toscrape.com/catalogue/../../../the-project_856/index.html
Soft Apocalypse,£26.12,In stock,../../../../media/cache/f0/06/f0060c756556b855184fa32f66280961.jpg,Two,https://books.toscrape.com/catalogue/../../../soft-apocalypse_833/index.html
Sleeping Giants (Themis Files #1),£48.74,In stock,../../../../media/cache/c0/72/c072c1ef144d571abd25fe9cc18cceba.jpg,One,https://books.toscrape.com/catalogue/../../../sleeping-giants-themis-files-1_604/index.html
Arena,£21.36,In stock,../../../../media/cache/51/88/518810d182843244a404f2a2a614a93b.jpg,Four,https://books.toscrape.com/catalogue/../../../arena_587/index.html
Foundation (Foundation (Publication Order) #1),£32.42,In stock,../../../../media/cache/8b/92/8b9267df86378b6973974ae7e1924ffe.jpg,One,https://books.toscrape.com/catalogue/../../../foundation-foundation-publication-order-1_375/index.html
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),£10.92,In stock,../../../../media/cache/b8/b2/b8b2956acc758a381beef87339c0a52f.jpg,One,https://books.toscrape.com/catalogue/../../../the-restaurant-at-the-end-of-the-universe-hitchhikers-guide-to-the-galaxy-2_275/index.html
Ready Player One,£19.07,In stock,../../../../media/cache/51/34/513418bd1c6114f3ea1fd703278e20ef.jpg,Four,https://books.toscrape.com/catalogue/../../../ready-player-one_209/index.html
"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",£33.26,In stock,../../../../media/cache/ef/8b/ef8bc5adcd3bea8e8ba97be76d07a32a.jpg,Two,https://books.toscrape.com/catalogue/../../../life-the-universe-and-everything-hitchhikers-guide-to-the-galaxy-3_189/index.html
Dune (Dune #1),£54.86,In stock,../../../../media/cache/7a/bc/7abccb865ecf9b0f676800b10c71cfd6.jpg,One,https://books.toscrape.com/catalogue/../../../dune-dune-1_151/index.html
Do Androids Dream of Electric Sheep? (Blade Runner #1),£51.48,In stock,../../../../media/cache/fa/65/fa653fbe3a4c69227c9b79d471cee576.jpg,One,https://books.toscrape.com/catalogue/../../../do-androids-dream-of-electric-sheep-blade-runner-1_149/index.html
Three Wishes (River of Time: California #1),£44.18,In stock,../../../../media/cache/c7/21/c721943edf481cad5ab32505e2ad3865.jpg,Two,https://books.toscrape.com/catalogue/../../../three-wishes-river-of-time-california-1_89/index.html
The Last Girl (The Dominion Trilogy #1),£36.26,In stock,../../../../media/cache/da/47/da4746e620f8ccd7cf20628d1a5e535a.jpg,Two,https://books.toscrape.com/catalogue/../../../the-last-girl-the-dominion-trilogy-1_70/index.html
Having the Barbarian's Baby (Ice Planet Barbarians #7.5),£34.96,In stock,../../../../media/cache/f4/83/f4835e9f3fdd8b8107bbb39a391654f0.jpg,Four,https://books.toscrape.com/catalogue/../../../having-the-barbarians-baby-ice-planet-barbarians-75_23/index.html
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,In stock,../../../../media/cache/09/a3/09a3aef48557576e1a85ba7efea8ecb7.jpg,One,https://books.toscrape.com/catalogue/../../../mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
Join,£35.67,In stock,../../../../media/cache/93/63/9363f0065fbad5689f44fcf6e203eef3.jpg,Five,https://books.toscrape.com/catalogue/../../../join_902/index.html
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",£43.30,In stock,../../../../media/cache/02/37/0237b445efc18c5562355a5a2c40889c.jpg,Four,https://books.toscrape.com/catalogue/../../../william-shakespeares-star-wars-verily-a-new-hope-william-shakespeares-star-wars-4_871/index.html
The Project,£10.65,In stock,../../../../media/cache/10/6e/106e2fc7160712edf8e2ff996dc8cd6c.jpg,One,https://books.toscrape.com/catalogue/../../../the-project_856/index.html
Soft Apocalypse,£26.12,In stock,../../../../media/cache/f0/06/f0060c756556b855184fa32f66280961.jpg,Two,https://books.toscrape.com/catalogue/../../../soft-apocalypse_833/index.html
Sleeping Giants (Themis Files #1),£48.74,In stock,../../../../media/cache/c0/72/c072c1ef144d571abd25fe9cc18cceba.jpg,One,https://books.toscrape.com/catalogue/../../../sleeping-giants-themis-files-1_604/index.html
Arena,£21.36,In stock,../../../../media/cache/51/88/518810d182843244a404f2a2a614a93b.jpg,Four,https://books.toscrape.com/catalogue/../../../arena_587/index.html
Foundation (Foundation (Publication Order) #1),£32.42,In stock,../../../../media/cache/8b/92/8b9267df86378b6973974ae7e1924ffe.jpg,One,https://books.toscrape.com/catalogue/../../../foundation-foundation-publication-order-1_375/index.html
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),£10.92,In stock,../../../../media/cache/b8/b2/b8b2956acc758a381beef87339c0a52f.jpg,One,https://books.toscrape.com/catalogue/../../../the-restaurant-at-the-end-of-the-universe-hitchhikers-guide-to-the-galaxy-2_275/index.html
Ready Player One,£19.07,In stock,../../../../media/cache/51/34/513418bd1c6114f3ea1fd703278e20ef.jpg,Four,https://books.toscrape.com/catalogue/../../../ready-player-one_209/index.html
"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",£33.26,In stock,../../../../media/cache/ef/8b/ef8bc5adcd3bea8e8ba97be76d07a32a.jpg,Two,https://books.toscrape.com/catalogue/../../../life-the-universe-and-everything-hitchhikers-guide-to-the-galaxy-3_189/index.html
Dune (Dune #1),£54.86,In stock,../../../../media/cache/7a/bc/7abccb865ecf9b0f676800b10c71cfd6.jpg,One,https://books.toscrape.com/catalogue/../../../dune-dune-1_151/index.html
Do Androids Dream of Electric Sheep? (Blade Runner #1),£51.48,In stock,../../../../media/cache/fa/65/fa653fbe3a4c69227c9b79d471cee576.jpg,One,https://books.toscrape.com/catalogue/../../../do-androids-dream-of-electric-sheep-blade-runner-1_149/index.html
Three Wishes (River of Time: California #1),£44.18,In stock,../../../../media/cache/c7/21/c721943edf481cad5ab32505e2ad3865.jpg,Two,https://books.toscrape.com/catalogue/../../../three-wishes-river-of-time-california-1_89/index.html
The Last Girl (The Dominion Trilogy #1),£36.26,In stock,../../../../media/cache/da/47/da4746e620f8ccd7cf20628d1a5e535a.jpg,Two,https://books.toscrape.com/catalogue/../../../the-last-girl-the-dominion-trilogy-1_70/index.html
Having the Barbarian's Baby (Ice Planet Barbarians #7.5),£34.96,In stock,../../../../media/cache/f4/83/f4835e9f3fdd8b8107bbb39a391654f0.jpg,Four,https://books.toscrape.com/catalogue/../../../having-the-barbarians-baby-ice-planet-barbarians-75_23/index.html
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,In stock,../../../../media/cache/09/a3/09a3aef48557576e1a85ba7efea8ecb7.jpg,One,https://books.toscrape.com/catalogue/../../../mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
Join,£35.67,In stock,../../../../media/cache/93/63/9363f0065fbad5689f44fcf6e203eef3.jpg,Five,https://books.toscrape.com/catalogue/../../../join_902/index.html
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",£43.30,In stock,../../../../media/cache/02/37/0237b445efc18c5562355a5a2c40889c.jpg,Four,https://books.toscrape.com/catalogue/../../../william-shakespeares-star-wars-verily-a-new-hope-william-shakespeares-star-wars-4_871/index.html
The Project,£10.65,In stock,../../../../media/cache/10/6e/106e2fc7160712edf8e2ff996dc8cd6c.jpg,One,https://books.toscrape.com/catalogue/../../../the-project_856/index.html
Soft Apocalypse,£26.12,In stock,../../../../media/cache/f0/06/f0060c756556b855184fa32f66280961.jpg,Two,https://books.toscrape.com/catalogue/../../../soft-apocalypse_833/index.html
Sleeping Giants (Themis Files #1),£48.74,In stock,../../../../media/cache/c0/72/c072c1ef144d571abd25fe9cc18cceba.jpg,One,https://books.toscrape.com/catalogue/../../../sleeping-giants-themis-files-1_604/index.html
Arena,£21.36,In stock,../../../../media/cache/51/88/518810d182843244a404f2a2a614a93b.jpg,Four,https://books.toscrape.com/catalogue/../../../arena_587/index.html
Foundation (Foundation (Publication Order) #1),£32.42,In stock,../../../../media/cache/8b/92/8b9267df86378b6973974ae7e1924ffe.jpg,One,https://books.toscrape.com/catalogue/../../../foundation-foundation-publication-order-1_375/index.html
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),£10.92,In stock,../../../../media/cache/b8/b2/b8b2956acc758a381beef87339c0a52f.jpg,One,https://books.toscrape.com/catalogue/../../../the-restaurant-at-the-end-of-the-universe-hitchhikers-guide-to-the-galaxy-2_275/index.html
Ready Player One,£19.07,In stock,../../../../media/cache/51/34/513418bd1c6114f3ea1fd703278e20ef.jpg,Four,https://books.toscrape.com/catalogue/../../../ready-player-one_209/index.html
"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",£33.26,In stock,../../../../media/cache/ef/8b/ef8bc5adcd3bea8e8ba97be76d07a32a.jpg,Two,https://books.toscrape.com/catalogue/../../../life-the-universe-and-everything-hitchhikers-guide-to-the-galaxy-3_189/index.html
Dune (Dune #1),£54.86,In stock,../../../../media/cache/7a/bc/7abccb865ecf9b0f676800b10c71cfd6.jpg,One,https://books.toscrape.com/catalogue/../../../dune-dune-1_151/index.html
Do Androids Dream of Electric Sheep? (Blade Runner #1),£51.48,In stock,../../../../media/cache/fa/65/fa653fbe3a4c69227c9b79d471cee576.jpg,One,https://books.toscrape.com/catalogue/../../../do-androids-dream-of-electric-sheep-blade-runner-1_149/index.html
Three Wishes (River of Time: California #1),£44.18,In stock,../../../../media/cache/c7/21/c721943edf481cad5ab32505e2ad3865.jpg,Two,https://books.toscrape.com/catalogue/../../../three-wishes-river-of-time-california-1_89/index.html
The Last Girl (The Dominion Trilogy #1),£36.26,In stock,../../../../media/cache/da/47/da4746e620f8ccd7cf20628d1a5e535a.jpg,Two,https://books.toscrape.com/catalogue/../../../the-last-girl-the-dominion-trilogy-1_70/index.html
Having the Barbarian's Baby (Ice Planet Barbarians #7.5),£34.96,In stock,../../../../media/cache/f4/83/f4835e9f3fdd8b8107bbb39a391654f0.jpg,Four,https://books.toscrape.com/catalogue/../../../having-the-barbarians-baby-ice-planet-barbarians-75_23/index.html
